timestamp,service_name,cpu_percent,memory_percent,request_count,error_rate,latency_ms,db_connections
2026-07-19 00:00:00,gateway-service,13.73,34.90,55,0.0000,119.57,0
2026-07-19 00:00:00,auth-service,18.67,48.03,22,0.0000,24.60,2
2026-07-19 00:00:00,order-service,22.36,50.26,33,0.0000,89.97,3
2026-07-19 00:00:00,inventory-service,14.27,55.45,39,0.0000,18.50,3
2026-07-19 00:00:00,payment-service,8.60,40.11,9,0.0000,130.19,1
2026-07-19 00:05:00,gateway-service,12.00,35.01,39,0.0000,115.42,0
2026-07-19 00:05:00,auth-service,17.80,47.95,15,0.0000,24.74,2
2026-07-19 00:05:00,order-service,18.08,49.57,23,0.0000,85.68,3
2026-07-19 00:05:00,inventory-service,12.53,54.52,28,0.0000,18.95,3
2026-07-19 00:05:00,payment-service,8.60,39.51,7,0.0000,124.86,1
2026-07-19 00:10:00,gateway-service,11.45,35.15,39,0.0000,120.83,0
2026-07-19 00:10:00,auth-service,16.36,48.22,15,0.0000,27.28,2
2026-07-19 00:10:00,order-service,19.26,49.91,23,0.0000,88.56,3
2026-07-19 00:10:00,inventory-service,13.55,54.74,28,0.0000,18.79,3
2026-07-19 00:10:00,payment-service,8.23,39.59,7,0.0000,123.88,1
2026-07-19 00:15:00,gateway-service,11.00,35.15,30,0.0000,117.67,0
2026-07-19 00:15:00,auth-service,16.87,48.30,12,0.0000,24.04,2
2026-07-19 00:15:00,order-service,17.74,50.31,18,0.0000,88.63,3
2026-07-19 00:15:00,inventory-service,12.43,55.04,21,0.0000,17.91,3
2026-07-19 00:15:00,payment-service,7.67,39.96,5,0.0000,127.99,1
2026-07-19 00:20:00,gateway-service,11.37,35.20,30,0.0000,114.11,0
2026-07-19 00:20:00,auth-service,14.33,48.25,12,0.0000,24.55,2
2026-07-19 00:20:00,order-service,19.00,50.43,18,0.0000,84.56,3
2026-07-19 00:20:00,inventory-service,12.86,54.98,21,0.0000,19.36,3
2026-07-19 00:20:00,payment-service,9.10,39.66,5,0.0000,110.54,1
2026-07-19 00:25:00,gateway-service,11.45,35.01,39,0.0000,113.61,0
2026-07-19 00:25:00,auth-service,16.85,47.99,15,0.0000,24.51,2
2026-07-19 00:25:00,order-service,19.75,50.42,23,0.0000,84.10,3
2026-07-19 00:25:00,inventory-service,12.84,54.56,28,0.0000,19.31,3
2026-07-19 00:25:00,payment-service,7.54,39.81,7,0.0000,111.70,1
2026-07-19 00:30:00,gateway-service,12.14,34.81,30,0.0000,116.04,0
2026-07-19 00:30:00,auth-service,14.23,48.36,12,0.0000,25.22,2
2026-07-19 00:30:00,order-service,19.70,49.82,18,0.0000,85.83,3
2026-07-19 00:30:00,inventory-service,13.93,55.07,21,0.0000,18.79,3
2026-07-19 00:30:00,payment-service,7.38,39.58,5,0.0000,123.65,1
2026-07-19 00:35:00,gateway-service,10.94,34.74,30,0.0000,117.86,0
2026-07-19 00:35:00,auth-service,16.54,47.96,12,0.0000,27.32,2
2026-07-19 00:35:00,order-service,19.46,49.63,18,0.0000,85.54,3
2026-07-19 00:35:00,inventory-service,13.92,54.51,21,0.0000,18.87,3
2026-07-19 00:35:00,payment-service,8.43,39.60,5,0.0000,121.25,1
2026-07-19 00:40:00,gateway-service,12.28,34.66,30,0.0000,117.73,0
2026-07-19 00:40:00,auth-service,16.13,47.80,12,0.0000,27.54,2
2026-07-19 00:40:00,order-service,20.95,49.76,18,0.0000,85.20,3
2026-07-19 00:40:00,inventory-service,13.66,55.03,21,0.0000,18.97,3
2026-07-19 00:40:00,payment-service,8.41,40.43,5,0.0000,112.57,1
2026-07-19 00:45:00,gateway-service,12.76,34.66,30,0.0000,119.01,0
2026-07-19 00:45:00,auth-service,15.33,48.19,12,0.0000,27.01,2
2026-07-19 00:45:00,order-service,17.62,49.83,18,0.0000,87.00,3
2026-07-19 00:45:00,inventory-service,13.06,54.75,21,0.0000,19.45,3
2026-07-19 00:45:00,payment-service,7.40,40.13,5,0.0000,127.09,1
2026-07-19 00:50:00,gateway-service,12.74,34.54,30,0.0000,118.44,0
2026-07-19 00:50:00,auth-service,16.20,47.61,12,0.0000,27.38,2
2026-07-19 00:50:00,order-service,17.61,49.86,18,0.0000,86.06,3
2026-07-19 00:50:00,inventory-service,13.43,54.65,21,0.0000,17.70,3
